,instance_id,input.text,predicted_text_0,stats.quasi_exact_match_0,num_words_0,predicted_text_1,stats.quasi_exact_match_1,num_words_1,predicted_text_2,stats.quasi_exact_match_2,num_words_2,predicted_text_3,stats.quasi_exact_match_3,num_words_3,predicted_text_4,stats.quasi_exact_match_4,num_words_4,predicted_text_5,stats.quasi_exact_match_5,num_words_5,predicted_text_6,stats.quasi_exact_match_6,num_words_6,predicted_text_7,stats.quasi_exact_match_7,num_words_7,predicted_text_8,stats.quasi_exact_match_8,num_words_8,predicted_text_9,stats.quasi_exact_match_9,num_words_9,predicted_text_10,stats.quasi_exact_match_10,num_words_10,predicted_text_11,stats.quasi_exact_match_11,num_words_11,predicted_text_12,stats.quasi_exact_match_12,num_words_12,predicted_text_13,stats.quasi_exact_match_13,num_words_13,predicted_text_14,stats.quasi_exact_match_14,num_words_14,predicted_text_15,stats.quasi_exact_match_15,num_words_15,predicted_text_16,stats.quasi_exact_match_16,num_words_16,predicted_text_17,stats.quasi_exact_match_17,num_words_17,predicted_text_18,stats.quasi_exact_match_18,num_words_18,predicted_text_19,stats.quasi_exact_match_19,num_words_19,predicted_text_20,stats.quasi_exact_match_20,num_words_20,predicted_text_21,stats.quasi_exact_match_21,num_words_21,predicted_text_22,stats.quasi_exact_match_22,num_words_22,predicted_text_23,stats.quasi_exact_match_23,num_words_23,predicted_text_24,stats.quasi_exact_match_24,num_words_24,predicted_text_25,stats.quasi_exact_match_25,num_words_25,predicted_text_26,stats.quasi_exact_match_26,num_words_26,predicted_text_27,stats.quasi_exact_match_27,num_words_27,predicted_text_28,stats.quasi_exact_match_28,num_words_28,predicted_text_29,stats.quasi_exact_match_29,num_words_29,std,agreement_level
102,id10437,"A 59-year-old man is brought to the emergency department by his wife because of fever, chills, night sweats, and generalized fatigue for 2 weeks. His temperature is 39.1°C (102.4°F). He appears ill. Physical examination shows a grade 3/6 mid-diastolic murmur at the left sternal border, and crackles at both lung bases. A transesophageal echocardiography shows a 12 mm vegetation on the aortic valve. Blood cultures show gram-positive, catalase-negative, gamma-hemolytic cocci in chains that are unable to grow in a 6.5% NaCl medium. Which of the following is the most likely predisposing factor for this patient’s current condition?",B,1.0,98, A,0.0,98,C,0.0,98, C,0.0,98,A,0.0,98,A,0.0,98, A,0.0,98, C,0.0,98,C,0.0,98, A,0.0,98,C,0.0,98, D,0.0,98, A,0.0,98, A,0.0,98,A,0.0,98,A,0.0,98, A,0.0,98,A,0.0,98, C,0.0,98, C,0.0,98,A,0.0,98,A,0.0,98,A,0.0,98,A,0.0,98, A,0.0,98, C,0.0,98, D,0.0,98, A,0.0,98, A,0.0,98,A,0.0,98,0.18257418583505525,High
778,id12173,"A 10-year-old boy is brought to the physician because of a generalized, non-itchy rash for 2 days. He has also had a fever and sore throat for 4 days. He has not received any routine childhood vaccinations. Examination shows a flushed face except around his mouth. A diffuse, papular, erythematous rash that blanches with pressure is seen over the trunk. Pharyngeal erythema and a red beefy tongue are noted. His leukocyte count is 11,200/mm3 (75% segmented neutrophils, 22% lymphocytes). Without treatment, this patient's current condition puts him at greatest risk for which of the following complications?",B,0.0,97, A,0.0,97,A,0.0,97, C,1.0,97,B,0.0,97,A,0.0,97, B,0.0,97, B,0.0,97,B,0.0,97, A,0.0,97,A,0.0,97, D,0.0,97, B,0.0,97, B,0.0,97,A,0.0,97,A,0.0,97, B,0.0,97,A,0.0,97, B,0.0,97, B,0.0,97,A,0.0,97,B,0.0,97,A,0.0,97,A,0.0,97, A,0.0,97, B,0.0,97, B,0.0,97, B,0.0,97, A,0.0,97,A,0.0,97,0.18257418583505525,High
73,id10365,"A 56-year-old man presents to an initial visit to his primary care physician complaining of excessive fatigue, weight loss, and increased abdominal girth. He drinks about 2–4 glasses of wine with dinner and recalls having abnormal liver enzymes in the past. He has a remote history of intravenous drug use. Physical examination reveals shifting dullness, firm liver, and splenomegaly. The skin lesion in this photo is present in on the face, arms, and upper trunk of the patient. Which of the following best describes the mechanism of development of these skin lesions in this patient?",A,0.0,96, A,0.0,96,A,0.0,96, B,1.0,96,A,0.0,96,A,0.0,96, A,0.0,96, A,0.0,96,A,0.0,96, A,0.0,96,A,0.0,96, C,0.0,96, A,0.0,96, A,0.0,96,A,0.0,96,A,0.0,96, A,0.0,96,A,0.0,96, A,0.0,96, A,0.0,96,A,0.0,96,A,0.0,96,A,0.0,96,A,0.0,96, D,0.0,96, D,0.0,96, A,0.0,96, C,0.0,96, A,0.0,96,A,0.0,96,0.18257418583505525,High
150,id10571,An investigator is analyzing the serum calcium and parathyroid hormone levels of 100 patients. A scatter plot of the findings is shown. Which of the following is a possible explanation for the group marked with the letter E?,B,0.0,39, C,0.0,39,B,0.0,39, C,0.0,39,D,0.0,39,B,0.0,39, B,0.0,39, D,0.0,39,D,0.0,39, D,0.0,39,A,1.0,39, D,0.0,39, B,0.0,39, B,0.0,39,B,0.0,39,B,0.0,39, D,0.0,39,B,0.0,39, B,0.0,39, C,0.0,39,B,0.0,39,D,0.0,39,Without,0.0,39,B,0.0,39, C,0.0,39, B,0.0,39, B,0.0,39, B,0.0,39, D,0.0,39,D,0.0,39,0.18257418583505527,High
418,id11246,"A 16-year-old boy comes to his primary care clinic for a sports physical. He states that he wants to try out for his high school’s football team this year. He's ""trying to get in better shape.” The patient has no complaints except for occasional headaches when he is stressed about exams. The patient also mentions that he is embarrassed of his “small penis” and asks if there is something he can take for that. The patient’s temperature is 98°F (36.7°C), blood pressure is 118/76 mmHg, and pulse is 79/min. On physical examination, the patient is obese and has no visible facial hair. His testes are less than 20 mL in volume, and his phallus measures less than 8 cm. Initial labs show testosterone levels of 95 ng/dL and a low follicle stimulating hormone/luteinizing hormone ratio. Which of the following is the next best diagnostic step?",A,0.0,146, A,0.0,146,C,0.0,146, C,0.0,146,B,0.0,146,C,0.0,146, B,0.0,146, B,0.0,146,C,0.0,146, C,0.0,146,C,0.0,146, E,0.0,146, C,0.0,146, A,0.0,146,C,0.0,146,C,0.0,146, D,1.0,146,C,0.0,146, B,0.0,146, B,0.0,146,A,0.0,146,C,0.0,146,C,0.0,146,A,0.0,146, B,0.0,146, C,0.0,146, B,0.0,146, B,0.0,146, C,0.0,146,B,0.0,146,0.1825741858350553,High
218,id10743,"A 54-year-old woman presents to the emergency department due to recent onset of a high fever, accompanied by severe headache and neck stiffness. Her past medical history is significant for rapidly progressive glomerulonephritis. She is currently on immunosuppressants after a kidney transplant performed 6 months ago. On presentation, her temperature is 102.2°F (39°C), blood pressure is 112/71 mmHg, pulse is 107/min, and respirations are 22/min. Physical exam reveals severe pain with neck flexion and reciprocal knee flexion. Laboratory tests reveal a gram-positive organism with endotoxin. Which of the following characteristics is true of the most likely cause of this patient's disorder?",C,0.0,102, C,0.0,102,C,0.0,102, A,0.0,102,C,0.0,102,B,0.0,102, C,0.0,102, B,0.0,102,C,0.0,102, C,0.0,102,C,0.0,102, A,0.0,102, B,0.0,102, C,0.0,102,C,0.0,102,D,1.0,102, C,0.0,102,C,0.0,102, A,0.0,102, C,0.0,102,B,0.0,102,C,0.0,102,B,0.0,102,C,0.0,102, B,0.0,102, C,0.0,102, B,0.0,102, C,0.0,102, C,0.0,102,A,0.0,102,0.1825741858350553,High
827,id12307,"A 71-year-old woman comes to the physician for evaluation of a pigmented lesion on her left foot. She has had decreased appetite and a 6-kg (13-lb) weight loss in the past 2 months. Physical examination shows that on the left medial ankle there is a 2-cm reddish-black nodule with a verrucous surface. A full-thickness excisional biopsy of the lesion shows S100-protein-positive epithelioid cells. A subsequent CT scan of the chest, abdomen, and pelvis shows metastases to the liver; a diagnosis of metastatic melanoma is made. Chemotherapy with aldesleukin is initiated. Which of the following is the mechanism of action for this drug?",C,1.0,103, C,1.0,103,C,1.0,103, C,1.0,103,C,1.0,103,C,1.0,103, C,1.0,103, C,1.0,103,C,1.0,103, C,1.0,103,C,1.0,103, C,1.0,103, C,1.0,103, C,1.0,103,C,1.0,103,C,1.0,103, C,1.0,103,C,1.0,103, C,1.0,103, C,1.0,103,C,1.0,103,C,1.0,103,C,1.0,103,C,1.0,103, A,0.0,103, C,1.0,103, C,1.0,103, C,1.0,103, C,1.0,103,C,1.0,103,0.18257418583505533,High
635,id11817,"A 22-year-old gravida 1 presents to her physician at 15 weeks gestation for a prenatal appointment. She complains of a rash involving her chest, face, and arms, a watery nasal discharge, and mild bilateral knee pain. She has had these symptoms for about 5 days. The symptoms do not seem to bother her too much, but she is concerned for the baby. She had contact with her younger sister, who also had a rash and was diagnosed with rubella infection about 10 days ago at a family gathering. She cannot confirm her vaccination history. Her vital signs are as follows: blood pressure, 110/70 mmHg; heart rate, 89/min; respiratory rate, 12/min; and temperature, 37.6℃ (99.7℉). Examination shows a moderately dense maculopapular lacy rash spread over the patient’s trunk, extremities, and face. No lymph node, liver, or spleen enlargement is noted. The knee joints appear normal.
Serology performed 1 year ago Current serology
Rubella IgM - negative Rubella IgM - negative
Rubella IgG - 1:128 Rubella IgG - 1:64
Rubella IgG avidity - high Rubella IgG avidity - high
What is the proper next step in the management of this woman?",A,0.0,190, A,0.0,190,A,0.0,190, C,0.0,190,A,0.0,190,A,0.0,190, A,0.0,190, A,0.0,190,C,0.0,190, A,0.0,190,A,0.0,190, A,0.0,190, A,0.0,190, A,0.0,190,A,0.0,190,A,0.0,190, A,0.0,190,A,0.0,190, A,0.0,190, B,0.0,190,A,0.0,190,A,0.0,190,A,0.0,190,A,0.0,190, D,1.0,190, A,0.0,190, A,0.0,190, A,0.0,190, A,0.0,190,A,0.0,190,0.18257418583505533,High
260,id10848,"A 69-year-old female presents to the emergency department with crampy abdominal pain. She has a past medical history of hypertension, dyslipidemia, and cholelithiasis status post cholecystectomy. The patient states she has not passed stool or gas for 48 hrs. On physical exam vitals are T 98.4 F HR 105 bpm BP 155/101 mmHg RR 16 SpO2 96%, abdominal exam is notable for distension, tympany to percussion, and tenderness to palpation without rebound or guarding. Which of the following findings are most likely on radiograph?",C,1.0,85, C,1.0,85,C,1.0,85, C,1.0,85,C,1.0,85,C,1.0,85, C,1.0,85, C,1.0,85,C,1.0,85, C,1.0,85,C,1.0,85, C,1.0,85, C,1.0,85, C,1.0,85,C,1.0,85,C,1.0,85, C,1.0,85,C,1.0,85, C,1.0,85, C,1.0,85,C,1.0,85,D,0.0,85,C,1.0,85,C,1.0,85, C,1.0,85, C,1.0,85, C,1.0,85, C,1.0,85, C,1.0,85,C,1.0,85,0.18257418583505533,High
857,id12381,"A previously healthy 67-year-old man comes to the physician for routine health maintenance evaluation. He works at a community center and volunteers at a local homeless shelter. A tuberculin skin test shows an induration of 14 mm. An x-ray of the chest is normal. Treatment with an antimycobacterial drug is initiated. Two months later, he has numbness and burning over both feet and an unsteady gait. Physical examination shows decreased sensation to light touch extending from the soles of the feet to the mid-shin bilaterally. Which of the following is the most likely cause of this patient’s current symptoms?",C,0.0,100, C,0.0,100,C,0.0,100, C,0.0,100,C,0.0,100,C,0.0,100, C,0.0,100, C,0.0,100,C,0.0,100, C,0.0,100,C,0.0,100, D,0.0,100, C,0.0,100, C,0.0,100,C,0.0,100,C,0.0,100, C,0.0,100,B,0.0,100, C,0.0,100, C,0.0,100,C,0.0,100,C,0.0,100,A,1.0,100,C,0.0,100, D,0.0,100, C,0.0,100, B,0.0,100, C,0.0,100, C,0.0,100,C,0.0,100,0.18257418583505533,High
201,id10699,"A 3-year-old girl is brought to the pediatrician by her father for fever and cough. The patient’s father states that she had a sore throat and runny nose 2 weeks ago. Then last night she developed a productive cough and a fever. The father is worried that this is pneumonia again, and reports that she has been hospitalized 5 times already with pneumonia. Her medical history is also significant for chronic diarrhea. The father reports that the patient has 2 older brothers who are both healthy. The patient’s temperature is 102°F (38.9°C), blood pressure is 102/60 mmHg, pulse is 110/min, and respirations are 28/min with an oxygen saturation of 94% on room air. On physical examination, decreased breath sounds are appreciated on the right. A chest radiography shows consolidation in the right upper lobe, consistent with pneumonia. An antibody panel and flow cytometry are obtained in the setting of the patient’s recurrent infections. The results show a normal lymphocyte count with low levels of IgA, IgG, and IgE and elevated levels of IgM. Which of the following is the patient most at risk for developing?",D,0.0,186, B,0.0,186,B,0.0,186, B,0.0,186,B,0.0,186,B,0.0,186, A,0.0,186, A,0.0,186,B,0.0,186, D,0.0,186,A,0.0,186, B,0.0,186, A,0.0,186, A,0.0,186,B,0.0,186,A,0.0,186, B,0.0,186,D,0.0,186, D,0.0,186, B,0.0,186,B,0.0,186,D,0.0,186,D,0.0,186,B,0.0,186, A,0.0,186, C,1.0,186, D,0.0,186, B,0.0,186, D,0.0,186,A,0.0,186,0.18257418583505536,High
409,id11223,"A 47-year-old man is brought to the emergency department 30 minutes after he was involved in a motor vehicle collision. On arrival, he is unconscious and unresponsive to painful stimuli. His pulse is 120/min, respirations are 10/min, and his blood pressure is 88/60 mm Hg. Infusion of 0.9% saline is begun, and intubation is attempted without success. Pulse oximetry on 20 L/min of oxygen via bag mask shows an oxygen saturation of 78%. The next appropriate step in the management of this patient involves passing a tube through an incision through which of the following structures?",B,0.0,97, C,0.0,97,C,0.0,97, B,0.0,97,C,0.0,97,B,0.0,97, C,0.0,97, D,0.0,97,C,0.0,97, C,0.0,97,C,0.0,97, D,0.0,97, C,0.0,97, B,0.0,97,C,0.0,97,C,0.0,97, D,0.0,97,C,0.0,97, D,0.0,97, C,0.0,97,B,0.0,97,C,0.0,97,C,0.0,97,C,0.0,97, D,0.0,97, A,1.0,97, C,0.0,97, C,0.0,97, C,0.0,97,D,0.0,97,0.18257418583505536,High
58,id10319,"A 67-year-old man presents to his primary care physician because he has been feeling increasingly short of breath. Specifically, after retirement he has been going on daily morning walks with his wife; however, over the last year he feels that his endurance has decreased. His medical history is significant for well-controlled hypertension but is otherwise unremarkable. When asked, he reveals that he worked in a variety of industries throughout his life. Testing demonstrates decreased forced vital capacity (FVC) and a normal forced expiratory volume (FEV) to FVC ratio. Pathology demonstrates changes primarily in the upper lobes where macrophages can be seen with dark round ingested particles. Which of the following is most likely associated with the cause of this patient's symptoms?",C,0.0,122, C,0.0,122,C,0.0,122, C,0.0,122,C,0.0,122,A,0.0,122, C,0.0,122, B,0.0,122,A,0.0,122, A,0.0,122,A,0.0,122, C,0.0,122, A,0.0,122, C,0.0,122,C,0.0,122,A,0.0,122, C,0.0,122,C,0.0,122, C,0.0,122, C,0.0,122,A,0.0,122,C,0.0,122,A,0.0,122,C,0.0,122, C,0.0,122, D,1.0,122, A,0.0,122,"
",0.0,121, A,0.0,122,C,0.0,122,0.18257418583505536,High
700,id11964,"A 3-year-old girl is brought to the physician because of a 3-day history of fever, cough, purulent nasal discharge. She has experienced 7 similar episodes, each lasting 2–5 days in the previous 2 years. She has also had intermittent abdominal cramps and recurrent episodes of foul-smelling greasy diarrhea in the past year. She is at the 55th percentile for height and 35th percentile for weight. Her temperature is 38.9°C (102°F), pulse is 100/min, respirations are 24/min, and blood pressure is 110/60 mm Hg. Physical examination shows an erythematous oropharynx without exudate and tenderness over the frontoethmoidal sinuses. The abdomen is distended, nontender, and tympanitic to percussion. Bowel sounds are increased. Stool microscopy shows pear-shaped multi-flagellated organisms. This patient is at increased risk for which of the following?",C,0.0,128, C,0.0,128,C,0.0,128, C,0.0,128,D,0.0,128,B,0.0,128, D,0.0,128, D,0.0,128,B,0.0,128, C,0.0,128,C,0.0,128, C,0.0,128, C,0.0,128, B,0.0,128,B,0.0,128,C,0.0,128, D,0.0,128,C,0.0,128, D,0.0,128, D,0.0,128,B,0.0,128,D,0.0,128,C,0.0,128,B,0.0,128, D,0.0,128, B,0.0,128, D,0.0,128, C,0.0,128, C,0.0,128,A,1.0,128,0.18257418583505536,High
68,id10340,An investigator is studying the effects of tissue hypoxia on skeletal muscles. Skeletal muscle hypoxia is induced by decreasing oxygen delivery to peripheral tissues. Which of the following is most likely to achieve this desired effect?,C,0.0,37, B,0.0,37,C,0.0,37, A,1.0,37,A,1.0,37,C,0.0,37, C,0.0,37, C,0.0,37,C,0.0,37, C,0.0,37,B,0.0,37, B,0.0,37, B,0.0,37, C,0.0,37,B,0.0,37,C,0.0,37, C,0.0,37,B,0.0,37, C,0.0,37, C,0.0,37,C,0.0,37,C,0.0,37,C,0.0,37,C,0.0,37, D,0.0,37, D,0.0,37, B,0.0,37, C,0.0,37, C,0.0,37,B,0.0,37,0.2537081317024625,High
