,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
37,id31,_______________ is the central node of 802.11 wireless operations.,WPASALILSPLITCHECKAccess Point (correct)SALILSPLITCHECKWAPSALILSPLITCHECKAccess Port,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0, C,0.0,0.2537081317024624,Medium
81,id72,"A sender must not be able to deny sending a message that was sent, is known as",Message Nonrepudiation (correct)SALILSPLITCHECKMessage IntegritySALILSPLITCHECKMessage CondentialitySALILSPLITCHECKMessage Sending,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, B,0.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, D,0.0,0.2537081317024625,Medium
62,id55,Which of the following deals with network intrusion detection and real-time traffic analysis?,John the RipperSALILSPLITCHECKL0phtCrackSALILSPLITCHECKSnort (correct)SALILSPLITCHECKNessus,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0,C,1.0, D,0.0, C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0, C,1.0,0.2537081317024625,Medium
85,id76,How does a buffer overflow on the stack facilitate running attacker-injected code?,"By overwriting the return address to point to the location of that code (correct)SALILSPLITCHECKBy writing directly to the instruction pointer register the address of the codeSALILSPLITCHECKBy writing directly to %eax the address of the codeSALILSPLITCHECKBy changing the name of the running executable, stored on the stack",A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, B,0.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, B,0.0, A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,0.2537081317024625,Medium
39,id33,What is Nmap?,"It is a scanner which works by injecting packets to a range of addresses, and inferring what hosts and services might be at those addresses, based on the responses (correct)SALILSPLITCHECKIt is a network fuzz testing toolSALILSPLITCHECKIt is a map of the InternetSALILSPLITCHECKIt is a suite of tools for scripting attacks: probe, construct, encode, inject, wait for response",A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, B,0.0, A,1.0,A,1.0,A,1.0,A,1.0, D,0.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, C,0.0,0.30512857662936466,Low
64,id57,"When a wireless user authenticates to any AP, both of them go in the course of four-step authentication progression which is called _____________",AP-handshakingSALILSPLITCHECK4-way handshake (correct)SALILSPLITCHECK4-way connectionSALILSPLITCHECKwireless handshaking,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, C,0.0, B,1.0,B,1.0,B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0, B,1.0,0.30512857662936466,Low
92,id82,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless accessSALILSPLITCHECKWireless security (correct)SALILSPLITCHECKWired SecuritySALILSPLITCHECKWired device apps,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, C,0.0, B,1.0,B,1.0,B,1.0,B,1.0, C,0.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, A,0.0,0.30512857662936466,Low
63,id56,The Message condentiality or privacy means that the sender and the receiver expect,IntegritySALILSPLITCHECKCondentiality (correct)SALILSPLITCHECKAuthenticationSALILSPLITCHECKNonrepudiation,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0, B,1.0,0.30512857662936466,Low
101,id90,What is a nop sled,"It is an anonymous version of a mop sledSALILSPLITCHECKIt is a sequence of nops preceding injected shellcode, useful when the return address is unknown (correct)SALILSPLITCHECKIt is a method of removing zero bytes from shellcodeSALILSPLITCHECKIt is another name for a branch instruction at the end of sequence of nops",B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0, D,0.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, D,0.0,0.30512857662936466,Low
3,id102,Why is it that the compiler does not know the absolute address of a local variable?,"Programs are not allowed to reference memory using absolute addressesSALILSPLITCHECKThe size of the address depends on the architecture the program will run onSALILSPLITCHECKAs a stack-allocated variable, it could have different addresses depending on when its containing function is called (correct)SALILSPLITCHECKCompiler writers are not very good at that sort of thing",C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,C,1.0, D,0.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0, C,1.0,0.30512857662936466,Low
18,id12,A hash function guarantees the integrity of a message. It guarantees that the message has not be,ReplacedSALILSPLITCHECKOverviewSALILSPLITCHECKChanged (correct)SALILSPLITCHECKViolated,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, A,0.0,C,1.0, C,1.0, C,1.0,C,1.0, B,0.0, C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0, B,0.0,0.34574590364176033,Low
69,id61,Which of the following is a Wireless traffic Sniffing tool?,MaltegoSALILSPLITCHECKBurpSuitSALILSPLITCHECKNessusSALILSPLITCHECKWireshark (correct),D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, B,0.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0, A,0.0, D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, B,0.0, D,1.0, A,0.0,0.34574590364176033,Low
98,id88,What is the difference between a direct leak and a side channel?,"A direct leak creates a denial of service by failing to free memory, while a channel frees memory as a side effectSALILSPLITCHECKA direct leak is one that is intentional, rather than by unintentionalSALILSPLITCHECKA direct leak comes via the software system's intended interaction mechanism, where as a side channel leak comes from measurements of other system features, like timing, power usage, or space usage (correct)SALILSPLITCHECKThere is no difference",C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,C,1.0, D,0.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, B,0.0, C,1.0, B,0.0,0.3457459036417604,Low
100,id9,Which of the following does authentication aim to accomplish?,Restrict what operations/data the user can accessSALILSPLITCHECKDetermine if the user is an attackerSALILSPLITCHECKFlag the user if he/she misbehavesSALILSPLITCHECKDetermine who the user is (correct),D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, B,0.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, A,0.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, A,0.0, D,1.0, C,0.0,0.3457459036417604,Low
84,id75,A special tool is necessary for entering the network which is _______________ that helps the anonymous internet users to access into the Tor’s network and use various Tor services.,Opera browserSALILSPLITCHECKFirefoxSALILSPLITCHECKChromeSALILSPLITCHECKTor browser (correct),D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0, C,0.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, B,0.0, D,1.0, C,0.0,0.3457459036417604,Low
78,id7,Why is it that anti-virus scanners would not have found an exploitation of Heartbleed?,"It's a vacuous question: Heartbleed only reads outside a buffer, so there is no possible exploit SALILSPLITCHECKAnti-virus scanners tend to look for viruses and other maliciousSALILSPLITCHECKHeartbleed attacks the anti-virus scanner itselfSALILSPLITCHECKAnti-virus scanners tend to look for viruses and other malicious code, but Heartbleed exploits steal secrets without injecting any code  (correct)",D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,B,0.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, A,0.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, A,0.0, D,1.0, C,0.0,0.3457459036417604,Low
66,id59,Which of the following are most vulnerable to injection attacks?,Session IDsSALILSPLITCHECKRegistry keysSALILSPLITCHECKNetwork communicationsSALILSPLITCHECKSQL queries based on user input (correct),D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0, C,0.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, A,0.0, D,1.0, C,0.0,0.3457459036417604,Low
76,id68,A/an ___________ is a program that steals your logins & passwords for instant messaging applications.,IM – Trojans (correct)SALILSPLITCHECKBackdoor TrojansSALILSPLITCHECKTrojan-DownloaderSALILSPLITCHECKRansom Trojan,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, C,0.0,A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0, B,0.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, D,0.0, A,1.0, C,0.0,0.3457459036417604,Low
2,id101,Which among the following is the least strong security encryption standard?,WEP (correct)SALILSPLITCHECKWPASALILSPLITCHECKWPA2SALILSPLITCHECKWPA3,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, C,0.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0, B,0.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, D,0.0, A,1.0, B,0.0,0.3457459036417604,Low
107,id96,A __________ is a sequential segment of the memory location that is allocated for containing some data such as a character string or an array of integers.,stackSALILSPLITCHECKqueueSALILSPLITCHECKexternal storageSALILSPLITCHECKbuffer (correct),D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0, C,0.0, D,1.0,D,1.0,D,1.0,D,1.0, C,0.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, A,0.0, D,1.0, C,0.0,0.3457459036417604,Low
97,id87,"When the data must arrive at the receiver exactly as they were sent, its called",Message CondentialitySALILSPLITCHECKMessage Integrity (correct)SALILSPLITCHECKMessage SplashingSALILSPLITCHECKMessage Sending,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, A,0.0, B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0, D,0.0,0.3457459036417604,Low
25,id19,"In Message Condentiality, the transmitted message must make sense to only intended",Receiver (correct)SALILSPLITCHECKSenderSALILSPLITCHECKModulorSALILSPLITCHECKTranslator,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, B,0.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0, B,0.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, B,0.0, A,1.0, B,0.0,0.3457459036417604,Low
5,id104,Can a stream cipher have perfect secrecy?,"Yes, if the PRG is really “secure”SALILSPLITCHECKNo, there are no ciphers with perfect secrecySALILSPLITCHECKYes, every cipher has perfect secrecySALILSPLITCHECKNo, since the key is shorter than the message (correct)",A,0.0,A,0.0,D,1.0,D,1.0, A,0.0, B,0.0, B,0.0,B,0.0, B,0.0, A,0.0,B,0.0, A,0.0, A,0.0,D,1.0,A,0.0,B,0.0, C,0.0, A,0.0,A,0.0,B,0.0,A,0.0,A,0.0, A,0.0, A,0.0, A,0.0, B,0.0,B,0.0, B,0.0, B,0.0, D,1.0,0.34574590364176044,Low
71,id63,Which of the following is not a block cipher operating mode?,ECBSALILSPLITCHECKCFBSALILSPLITCHECKCBF (correct)SALILSPLITCHECKCBC,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, A,0.0, C,1.0,C,1.0, C,1.0, C,1.0,A,0.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, D,0.0, C,1.0, C,1.0,0.34574590364176044,Low
55,id49,Failed sessions allow brute-force attacks on access credentials. This type of attacks are done in which layer of the OSI model?,Physical layerSALILSPLITCHECKData-link LayerSALILSPLITCHECKSession layer (correct)SALILSPLITCHECKPresentation layer,D,0.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,B,0.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, B,0.0,C,1.0, C,1.0, C,1.0, C,1.0,0.3457459036417605,Low
30,id24,"Why apps developed in languages like C, C++ is prone to Buffer-overflow?",No string boundary checks in predefined functions (correct)SALILSPLITCHECKNo storage check in the external memorySALILSPLITCHECKNo processing power checkSALILSPLITCHECKNo database check,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, B,0.0,A,1.0, A,1.0, A,1.0,A,1.0, C,0.0, A,1.0,A,1.0,A,1.0,A,1.0, C,0.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, C,0.0,0.3457459036417605,Low
106,id95,"___________________ is alike as that of Access Point (AP) from 802.11, & the mobile operators uses it for offering signal coverage.",Base Signal StationSALILSPLITCHECKBase Transmitter StationSALILSPLITCHECKBase Transceiver Station (correct)SALILSPLITCHECKTransceiver Station,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, B,0.0, C,1.0,C,1.0, C,1.0, C,1.0,C,1.0, B,0.0, C,1.0,C,1.0,C,1.0,C,1.0, D,0.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, B,0.0, C,1.0, C,1.0,0.3457459036417605,Low
104,id93,"In a _____________ attack, the extra data that holds some specific instructions in the memory for actions is projected by a cyber-criminal or penetration tester to crack the system.",PhishingSALILSPLITCHECKMiTMSALILSPLITCHECKBuffer-overflow (correct)SALILSPLITCHECKClickjacking,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, B,0.0, C,1.0,C,1.0, C,1.0, C,1.0,C,1.0, D,0.0, C,1.0,C,1.0,C,1.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0, C,1.0,0.3457459036417605,Low
31,id25,Man in the middle attack can endanger the security of Diffie Hellman method if two parties are not,JoinedSALILSPLITCHECKAuthenticated (correct)SALILSPLITCHECKSubmittedSALILSPLITCHECKShared,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,A,0.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0, D,0.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, A,0.0, B,1.0, B,1.0,0.3457459036417605,Low
93,id83,Which of the following are benefits of penetration testing?,Results are often reproducible (correct)SALILSPLITCHECKFull evidence of security: a clean test means a secure systemSALILSPLITCHECKCompositionality of security properties means tested components are secure even if others changeSALILSPLITCHECKMakes an adversarial neural network converge more quickly,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, B,0.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, C,0.0, A,1.0,A,1.0,A,1.0,A,1.0, B,0.0, B,0.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,0.3457459036417605,Low
74,id66,Applications developed by programming languages like ____ and ______ have this common buffer-overflow error.,"C, RubySALILSPLITCHECKPython, RubySALILSPLITCHECKC, C++ (correct)SALILSPLITCHECKTcl, C#",C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, B,0.0, A,0.0,C,1.0, C,1.0, C,1.0,C,1.0, B,0.0, C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, B,0.0, C,1.0, C,1.0,0.3457459036417605,Low
29,id23,____________ is also a part of darknet that is employed for transferring files anonymously.,Freenet (correct)SALILSPLITCHECKARPANETSALILSPLITCHECKStuxnetSALILSPLITCHECKInternet,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, B,0.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, C,0.0, A,1.0,A,1.0,A,1.0,A,1.0, B,0.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, B,0.0, A,1.0, A,1.0,0.3457459036417605,Low
